Mean: 0	Var: 0	Max: 0	Min: 0
Mean: -42.6	Var: 50.3201	Max: -20	Min: -55
Mean: -44.42	Var: 81.3638	Max: -20	Min: -67
Mean: -43.88	Var: 69.2655	Max: -20	Min: -57
Mean: -44.06	Var: 90.4163	Max: -20	Min: -61
Mean: -43.66	Var: 89.2644	Max: -20	Min: -71
Mean: -44.44	Var: 98.4465	Max: -20	Min: -74
Mean: -43.98	Var: 73.7796	Max: -20	Min: -61
Mean: -43.04	Var: 57.9184	Max: -20	Min: -57
Mean: -43.52	Var: 74.2095	Max: -20	Min: -63
Mean: -44.3	Var: 72.77	Max: -20	Min: -61
Mean: -45.04	Var: 69.4783	Max: -20	Min: -59
Mean: -43.74	Var: 64.1123	Max: -20	Min: -64
Mean: -43.62	Var: 55.5157	Max: -20	Min: -61
Mean: -44.14	Var: 63.6804	Max: -20	Min: -64
Mean: -44.12	Var: 65.5457	Max: -20	Min: -59
Mean: -42.98	Var: 67.4596	Max: -20	Min: -59
Mean: -43.46	Var: 70.1285	Max: -20	Min: -57
Mean: -42.8	Var: 69.8	Max: -20	Min: -60
Mean: -43.22	Var: 70.7315	Max: -20	Min: -60
Mean: -43.66	Var: 70.9844	Max: -20	Min: -59
Mean: -44.98	Var: 88.5797	Max: -20	Min: -62
Mean: -43.6	Var: 62.0802	Max: -20	Min: -58
Mean: -44	Var: 80.2	Max: -20	Min: -66
Mean: -44.74	Var: 86.9923	Max: -20	Min: -66
Mean: -44.38	Var: 77.1155	Max: -20	Min: -64
Mean: -43.84	Var: 80.0944	Max: -20	Min: -60
Mean: -42.42	Var: 66.4837	Max: -20	Min: -58
Mean: -43.2	Var: 92.6799	Max: -20	Min: -68
Mean: -42.92	Var: 91.3938	Max: -20	Min: -64
Mean: -42.22	Var: 82.0116	Max: -20	Min: -62
Mean: -42.3	Var: 95.3701	Max: -20	Min: -69
Mean: -42.18	Var: 70.2275	Max: -20	Min: -59
Mean: -42.84	Var: 92.2944	Max: -20	Min: -61
Mean: -42.6	Var: 73.7601	Max: -20	Min: -56
Mean: -43.72	Var: 88.2815	Max: -20	Min: -61
Mean: -42.68	Var: 84.5376	Max: -20	Min: -60
Mean: -43.62	Var: 96.9957	Max: -20	Min: -67
Mean: -44.04	Var: 97.4783	Max: -20	Min: -65
Mean: -41.24	Var: 55.2622	Max: -20	Min: -55
Mean: -42.76	Var: 76.5825	Max: -20	Min: -64
Mean: -43.8	Var: 74.8801	Max: -20	Min: -66
Mean: -44.62	Var: 82.1557	Max: -20	Min: -64
Mean: -43.02	Var: 83.0995	Max: -20	Min: -67
Mean: -42.88	Var: 78.3455	Max: -20	Min: -62
Mean: -43.82	Var: 72.4676	Max: -20	Min: -60
Mean: -43.78	Var: 77.0918	Max: -20	Min: -58
Mean: -44.06	Var: 79.3763	Max: -20	Min: -62
Mean: -44.64	Var: 80.1905	Max: -20	Min: -65
Mean: -43.16	Var: 63.4944	Max: -20	Min: -64
Mean: -42.24	Var: 62.2222	Max: -20	Min: -58
Mean: -43.24	Var: 87.5022	Max: -20	Min: -58
Mean: -42.66	Var: 83.5044	Max: -20	Min: -66
Mean: -42.28	Var: 71.8417	Max: -20	Min: -55
Mean: -43.4	Var: 87.5198	Max: -20	Min: -58
Mean: -42.78	Var: 87.2517	Max: -20	Min: -62
Mean: -43.44	Var: 81.4066	Max: -20	Min: -63
Mean: -44.08	Var: 96.7135	Max: -20	Min: -67
Mean: -43.58	Var: 89.8034	Max: -20	Min: -66
Mean: -42.76	Var: 72.9825	Max: -20	Min: -58
Mean: -42.7	Var: 91.41	Max: -20	Min: -64
Mean: -42.7	Var: 76.17	Max: -20	Min: -59
Mean: -43.68	Var: 91.6976	Max: -20	Min: -62
Mean: -42.06	Var: 61.0963	Max: -20	Min: -56
Mean: -42.98	Var: 75.2196	Max: -20	Min: -64
Mean: -43.6	Var: 85.5202	Max: -20	Min: -67
Mean: -43.6	Var: 80.0002	Max: -20	Min: -65
Mean: -44.78	Var: 95.1317	Max: -20	Min: -64
Mean: -43.64	Var: 79.9504	Max: -20	Min: -61
Mean: -43.54	Var: 77.2483	Max: -20	Min: -59
Mean: -42.44	Var: 71.7266	Max: -20	Min: -60
Mean: -42.34	Var: 70.5843	Max: -20	Min: -58
Mean: -42.78	Var: 81.9717	Max: -20	Min: -60
Mean: -42.12	Var: 73.9456	Max: -20	Min: -61
Mean: -43.22	Var: 82.9715	Max: -20	Min: -61
Mean: -42.9	Var: 76.4898	Max: -20	Min: -57
Mean: -42.54	Var: 70.9683	Max: -20	Min: -56
Mean: -43.8	Var: 80.2001	Max: -20	Min: -59
Mean: -43.48	Var: 71.2496	Max: -20	Min: -61
Mean: -43.28	Var: 70.4417	Max: -20	Min: -59
Mean: -44.42	Var: 82.5238	Max: -20	Min: -57
Mean: -43.54	Var: 72.0083	Max: -20	Min: -57
Mean: -44.5	Var: 97.93	Max: -20	Min: -72
Mean: -42.08	Var: 78.6334	Max: -20	Min: -59
Mean: -43.32	Var: 83.4977	Max: -20	Min: -60
Mean: -42.92	Var: 87.1938	Max: -20	Min: -62
Mean: -42.62	Var: 85.6356	Max: -20	Min: -64
Mean: -43	Var: 79.72	Max: -20	Min: -63
Mean: -43.62	Var: 91.7557	Max: -20	Min: -62
Mean: -43	Var: 78.16	Max: -20	Min: -59
Mean: -43.58	Var: 93.8034	Max: -20	Min: -67
Mean: -42.32	Var: 75.4976	Max: -20	Min: -64
Mean: -43.34	Var: 79.2244	Max: -20	Min: -60
Mean: -42.34	Var: 60.9843	Max: -20	Min: -56
Mean: -43.32	Var: 89.6577	Max: -20	Min: -64
Mean: -43.78	Var: 92.2918	Max: -20	Min: -59
Mean: -44.26	Var: 78.3125	Max: -20	Min: -61
Mean: -43.4	Var: 64.4798	Max: -20	Min: -60
Mean: -43.88	Var: 71.5055	Max: -20	Min: -65
Mean: -42.7	Var: 63.37	Max: -20	Min: -58
Mean: -41.68	Var: 48.9776	Max: -20	Min: -56
Mean: -43.96	Var: 70.4784	Max: -20	Min: -62
Mean: -44.12	Var: 68.6657	Max: -20	Min: -63
Mean: -43.94	Var: 58.6165	Max: -20	Min: -59
Mean: -44.38	Var: 70.0755	Max: -20	Min: -64
Mean: -43.78	Var: 54.3318	Max: -20	Min: -59
Mean: -44.24	Var: 56.0223	Max: -20	Min: -58
Mean: -44.28	Var: 70.0017	Max: -20	Min: -58
Mean: -43.72	Var: 74.0415	Max: -20	Min: -62
Mean: -44.34	Var: 82.3444	Max: -20	Min: -64
Mean: -43.3	Var: 58.2101	Max: -20	Min: -60
Mean: -45.74	Var: 92.7523	Max: -20	Min: -64
Mean: -44.18	Var: 64.9076	Max: -20	Min: -61
Mean: -43.94	Var: 57.5765	Max: -20	Min: -59
Mean: -43.84	Var: 77.2144	Max: -20	Min: -65
Mean: -43.24	Var: 51.1822	Max: -20	Min: -55
Mean: -44.42	Var: 63.7638	Max: -20	Min: -60
Mean: -45.1	Var: 62.4101	Max: -20	Min: -59
Mean: -43.48	Var: 49.4496	Max: -20	Min: -64
Mean: -43.6	Var: 56.0002	Max: -20	Min: -65
Mean: -44.72	Var: 65.1215	Max: -20	Min: -63
Mean: -44	Var: 60.88	Max: -20	Min: -57
Mean: -44.2	Var: 57.08	Max: -20	Min: -56
Mean: -44.62	Var: 78.1157	Max: -20	Min: -62
Mean: -44.18	Var: 75.7076	Max: -20	Min: -65
Mean: -44.5	Var: 77.01	Max: -20	Min: -62
Mean: -44.24	Var: 76.5423	Max: -20	Min: -63
Mean: -44.12	Var: 76.7057	Max: -20	Min: -61
Mean: -43.36	Var: 74.2704	Max: -20	Min: -60
Mean: -44.18	Var: 90.5476	Max: -20	Min: -64
Mean: -43.3	Var: 77.2101	Max: -20	Min: -62
Mean: -43.04	Var: 82.7184	Max: -20	Min: -58
Mean: -43	Var: 83	Max: -20	Min: -66
Mean: -42.42	Var: 73.6837	Max: -20	Min: -60
Mean: -43.4	Var: 81.7598	Max: -20	Min: -60
Mean: -43.02	Var: 94.7795	Max: -20	Min: -62
Mean: -42.36	Var: 77.0704	Max: -20	Min: -55
Mean: -43.74	Var: 115.352	Max: -20	Min: -71
Mean: -43.48	Var: 100.13	Max: -20	Min: -67
Mean: -42.84	Var: 85.6944	Max: -20	Min: -62
Mean: -44.14	Var: 83.8804	Max: -20	Min: -64
Mean: -42.98	Var: 80.1396	Max: -20	Min: -66
Mean: -43.06	Var: 82.6563	Max: -20	Min: -62
Mean: -42.2	Var: 67.5199	Max: -20	Min: -60
Mean: -42.58	Var: 77.3235	Max: -20	Min: -63
Mean: -42.46	Var: 71.7684	Max: -20	Min: -61
Mean: -44.46	Var: 94.2885	Max: -20	Min: -69
Mean: -44.16	Var: 70.4144	Max: -20	Min: -61
Mean: -44.54	Var: 75.0484	Max: -20	Min: -58
Mean: -44.66	Var: 108.784	Max: -20	Min: -68
Mean: -44.32	Var: 100.498	Max: -20	Min: -65
Mean: -43.88	Var: 79.1455	Max: -20	Min: -64
Mean: -44.06	Var: 80.4563	Max: -20	Min: -65
Mean: -43.46	Var: 73.7685	Max: -20	Min: -59
